Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;4.363060e-03;4.363060e-06;4.371585e-01
2;1000;4.333019e-03;4.333019e-06;8.803786e-01
4;1000;4.310846e-03;4.310846e-06;1.769814e+00
8;1000;4.455090e-03;4.455090e-06;3.425024e+00
16;1000;4.225016e-03;4.225016e-06;7.223069e+00
32;1000;6.318092e-03;6.318092e-06;9.660377e+00
64;1000;6.232023e-03;6.232023e-06;1.958759e+01
128;1000;6.293058e-03;6.293058e-06;3.879523e+01
256;1000;6.577015e-03;6.577015e-06;7.424056e+01
512;1000;6.803989e-03;6.803989e-06;1.435279e+02
1024;1000;7.240057e-03;7.240057e-06;2.697665e+02
2048;1000;8.431911e-03;8.431911e-06;4.632698e+02
4096;1000;9.747982e-03;9.747982e-06;8.014479e+02
8192;1000;1.235604e-02;1.235604e-05;1.264563e+03
16384;1000;1.557183e-02;1.557183e-05;2.006829e+03
32768;1000;2.093697e-02;2.093697e-05;2.985151e+03
65536;640;2.029395e-02;3.170930e-05;3.942061e+03
131072;320;1.723003e-02;5.384386e-05;4.643055e+03
262144;160;1.661897e-02;1.038685e-04;4.813777e+03
524288;80;1.578116e-02;1.972646e-04;5.069335e+03
1048576;40;1.633191e-02;4.082978e-04;4.898386e+03
2097152;20;1.615882e-02;8.079410e-04;4.950857e+03
4194304;10;1.671815e-02;1.671815e-03;4.785219e+03
