Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;1.780987e-03;1.780987e-06;0.000000e+00
2;1000;1.778126e-03;1.778126e-06;0.000000e+00
4;1000;1.780987e-03;1.780987e-06;0.000000e+00
8;1000;1.754999e-03;1.754999e-06;0.000000e+00
16;1000;1.738071e-03;1.738071e-06;0.000000e+00
32;1000;2.840042e-03;2.840042e-06;0.000000e+00
64;1000;2.850056e-03;2.850056e-06;0.000000e+00
128;1000;2.847910e-03;2.847910e-06;0.000000e+00
256;1000;3.019094e-03;3.019094e-06;0.000000e+00
512;1000;3.190041e-03;3.190041e-06;0.000000e+00
1024;1000;3.459930e-03;3.459930e-06;0.000000e+00
2048;1000;4.071951e-03;4.071951e-06;0.000000e+00
4096;1000;4.881859e-03;4.881859e-06;0.000000e+00
8192;1000;6.428003e-03;6.428003e-06;0.000000e+00
16384;1000;8.404970e-03;8.404970e-06;0.000000e+00
32768;1000;1.189399e-02;1.189399e-05;0.000000e+00
65536;640;1.180387e-02;1.844354e-05;0.000000e+00
131072;320;1.204920e-02;3.765374e-05;0.000000e+00
262144;160;9.335041e-03;5.834401e-05;0.000000e+00
524288;80;1.014519e-02;1.268148e-04;7.885512e+03
1048576;40;9.902000e-03;2.475500e-04;8.079176e+03
2097152;20;1.115298e-02;5.576491e-04;7.172969e+03
4194304;10;1.266503e-02;1.266503e-03;6.316604e+03
