Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;1.140809e-02;1.140809e-05;1.337541e+00
2;1000;1.144004e-02;1.144004e-05;2.667611e+00
4;1000;1.097012e-02;1.097012e-05;5.563766e+00
8;1000;1.077914e-02;1.077914e-05;1.132468e+01
16;1000;1.064301e-02;1.064301e-05;2.293907e+01
32;1000;1.052499e-02;1.052499e-05;4.639257e+01
64;1000;1.037097e-02;1.037097e-05;9.416308e+01
128;1000;1.200199e-02;1.200199e-05;1.627334e+02
256;1000;1.327300e-02;1.327300e-05;2.943004e+02
512;1000;1.371884e-02;1.371884e-05;5.694722e+02
1024;1000;1.589990e-02;1.589990e-05;9.827108e+02
2048;1000;1.898909e-02;1.898909e-05;1.645682e+03
4096;1000;2.450705e-02;2.450705e-05;2.550287e+03
8192;1000;4.005814e-02;4.005814e-05;3.120465e+03
16384;1000;7.113719e-02;7.113719e-05;3.514336e+03
32768;1000;1.393039e-01;1.393039e-04;3.589274e+03
65536;640;2.363360e-01;3.692750e-04;2.708009e+03
131072;320;2.198219e-01;6.869435e-04;2.911447e+03
262144;160;1.864550e-01;1.165344e-03;3.432463e+03
524288;80;2.874219e-01;3.592774e-03;2.226692e+03
1048576;40;2.953639e-01;7.384098e-03;2.166819e+03
2097152;20;3.116560e-01;1.558280e-02;2.053546e+03
4194304;10;3.507102e-01;3.507102e-02;1.824869e+03
