Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;5.624056e-03;5.624056e-06;2.713129e+00
2;1000;5.640984e-03;5.640984e-06;5.409975e+00
4;1000;5.573988e-03;5.573988e-06;1.095000e+01
8;1000;5.581856e-03;5.581856e-06;2.186913e+01
16;1000;5.544901e-03;5.544901e-06;4.402975e+01
32;1000;5.123138e-03;5.123138e-06;9.530901e+01
64;1000;5.026817e-03;5.026817e-06;1.942705e+02
128;1000;5.227804e-03;5.227804e-06;3.736033e+02
256;1000;5.312920e-03;5.312920e-06;7.352360e+02
512;1000;5.436897e-03;5.436897e-06;1.436941e+03
1024;1000;5.908012e-03;5.908012e-06;2.644713e+03
2048;1000;6.736040e-03;6.736040e-06;4.639224e+03
4096;1000;1.156616e-02;1.156616e-05;5.403694e+03
8192;1000;2.208495e-02;2.208495e-05;5.659963e+03
16384;1000;4.469085e-02;4.469085e-05;5.593987e+03
32768;1000;8.856106e-02;8.856106e-05;5.645822e+03
65536;640;1.132510e-01;1.769546e-04;5.651166e+03
131072;320;1.135120e-01;3.547251e-04;5.638168e+03
262144;160;1.093290e-01;6.833062e-04;5.853891e+03
524288;80;1.107879e-01;1.384848e-03;5.776806e+03
1048576;40;1.106231e-01;2.765578e-03;5.785409e+03
2097152;20;1.248500e-01;6.242502e-03;5.126150e+03
4194304;10;1.289830e-01;1.289830e-02;4.961893e+03
