Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;9.870529e-04;9.870529e-07;1.545894e+01
2;1000;9.880066e-04;9.880066e-07;3.088803e+01
4;1000;9.801388e-04;9.801388e-07;6.227195e+01
8;1000;1.106024e-03;1.106024e-06;1.103686e+02
16;1000;1.080036e-03;1.080036e-06;2.260486e+02
32;1000;1.199007e-03;1.199007e-06;4.072380e+02
64;1000;1.358986e-03;1.358986e-06;7.185965e+02
128;1000;1.403093e-03;1.403093e-06;1.392014e+03
256;1000;1.590014e-03;1.590014e-06;2.456740e+03
512;1000;1.878023e-03;1.878023e-06;4.159959e+03
1024;1000;2.408981e-03;2.408981e-06;6.486144e+03
2048;1000;3.447056e-03;3.447056e-06;9.065708e+03
4096;1000;6.783962e-03;6.783962e-06;9.212905e+03
8192;1000;1.233506e-02;1.233506e-05;1.013371e+04
16384;1000;2.238703e-02;2.238703e-05;1.116718e+04
32768;1000;4.245496e-02;4.245496e-05;1.177719e+04
65536;640;5.136204e-02;8.025318e-05;1.246056e+04
131072;320;4.952407e-02;1.547627e-04;1.292301e+04
262144;160;4.925299e-02;3.078312e-04;1.299414e+04
524288;80;4.940486e-02;6.175607e-04;1.295419e+04
1048576;40;4.995203e-02;1.248801e-03;1.281229e+04
2097152;20;5.098391e-02;2.549195e-03;1.255298e+04
4194304;10;5.246592e-02;5.246592e-03;1.219840e+04
