Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;6.644964e-03;6.644964e-06;2.296294e+00
2;1000;6.604910e-03;6.604910e-06;4.620438e+00
4;1000;6.496906e-03;6.496906e-06;9.394495e+00
8;1000;6.442070e-03;6.442070e-06;1.894893e+01
16;1000;6.382942e-03;6.382942e-06;3.824892e+01
32;1000;6.121874e-03;6.121874e-06;7.976010e+01
64;1000;6.088018e-03;6.088018e-06;1.604073e+02
128;1000;6.308079e-03;6.308079e-06;3.096228e+02
256;1000;6.390810e-03;6.390810e-06;6.112292e+02
512;1000;6.485939e-03;6.485939e-06;1.204529e+03
1024;1000;7.030010e-03;7.030010e-06;2.222614e+03
2048;1000;7.928133e-03;7.928133e-06;3.941659e+03
4096;1000;1.170397e-02;1.170397e-05;5.340069e+03
8192;1000;2.243996e-02;2.243996e-05;5.570421e+03
16384;1000;4.450202e-02;4.450202e-05;5.617723e+03
32768;1000;8.854508e-02;8.854508e-05;5.646841e+03
65536;640;1.132410e-01;1.769390e-04;5.651665e+03
131072;320;1.134140e-01;3.544189e-04;5.643040e+03
262144;160;1.055140e-01;6.594628e-04;6.065543e+03
524288;80;1.101911e-01;1.377389e-03;5.808091e+03
1048576;40;1.213241e-01;3.033102e-03;5.275128e+03
2097152;20;1.131840e-01;5.659199e-03;5.654511e+03
4194304;10;1.289160e-01;1.289160e-02;4.964472e+03
