Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;2.052069e-03;2.052069e-06;9.294760e-01
2;1000;2.072096e-03;2.072096e-06;1.840985e+00
4;1000;2.086878e-03;2.086878e-06;3.655889e+00
8;1000;2.021074e-03;2.021074e-06;7.549841e+00
16;1000;2.030134e-03;2.030134e-06;1.503230e+01
32;1000;3.156900e-03;3.156900e-06;1.933389e+01
64;1000;3.175020e-03;3.175020e-06;3.844710e+01
128;1000;3.216982e-03;3.216982e-06;7.589120e+01
256;1000;3.341913e-03;3.341913e-06;1.461083e+02
512;1000;3.533125e-03;3.533125e-06;2.764019e+02
1024;1000;3.816843e-03;3.816843e-06;5.117122e+02
2048;1000;4.580975e-03;4.580975e-06;8.527116e+02
4096;1000;5.280972e-03;5.280972e-06;1.479368e+03
8192;1000;7.090092e-03;7.090092e-06;2.203780e+03
16384;1000;8.689880e-03;8.689880e-06;3.596137e+03
32768;1000;1.190686e-02;1.190686e-05;5.249074e+03
65536;640;1.247692e-02;1.949519e-05;6.411838e+03
131072;320;1.304102e-02;4.075319e-05;6.134490e+03
262144;160;1.015806e-02;6.348789e-05;7.875518e+03
524288;80;1.046300e-02;1.307875e-04;7.645991e+03
1048576;40;1.021194e-02;2.552986e-04;7.833963e+03
2097152;20;1.078200e-02;5.391002e-04;7.419771e+03
4194304;10;1.163888e-02;1.163888e-03;6.873514e+03
