Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;3.006935e-03;3.006935e-06;1.268633e+00
2;1000;2.820969e-03;2.820969e-06;2.704530e+00
4;1000;2.805948e-03;2.805948e-06;5.438015e+00
8;1000;2.844095e-03;2.844095e-06;1.073015e+01
16;1000;2.798080e-03;2.798080e-06;2.181322e+01
32;1000;3.906965e-03;3.906965e-06;3.124428e+01
64;1000;3.895998e-03;3.895998e-06;6.266446e+01
128;1000;3.954172e-03;3.954172e-06;1.234851e+02
256;1000;4.249096e-03;4.249096e-06;2.298283e+02
512;1000;4.399061e-03;4.399061e-06;4.439868e+02
1024;1000;4.875898e-03;4.875898e-06;8.011344e+02
2048;1000;6.113052e-03;6.113052e-06;1.278003e+03
4096;1000;8.038044e-03;8.038044e-06;1.943881e+03
8192;1000;1.155090e-02;1.155090e-05;2.705416e+03
16384;1000;1.700211e-02;1.700211e-05;3.676015e+03
32768;1000;3.023195e-02;3.023195e-05;4.134698e+03
65536;640;3.668189e-02;5.731545e-05;4.361825e+03
131072;320;3.881407e-02;1.212940e-04;4.122217e+03
262144;160;3.656602e-02;2.285376e-04;4.375647e+03
524288;80;4.646397e-02;5.807996e-04;3.443529e+03
1048576;40;3.534102e-02;8.835256e-04;4.527316e+03
2097152;20;3.799605e-02;1.899803e-03;4.210964e+03
4194304;10;4.527020e-02;4.527020e-03;3.534333e+03
