Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;6.959438e-04;6.959438e-07;5.481329e+00
2;1000;6.780624e-04;6.780624e-07;1.125176e+01
4;1000;7.238388e-04;7.238388e-07;2.108037e+01
8;1000;7.140636e-04;7.140636e-07;4.273790e+01
16;1000;6.418228e-04;6.418228e-07;9.509658e+01
32;1000;7.359982e-04;7.359982e-07;1.658568e+02
64;1000;6.878376e-04;6.878376e-07;3.549393e+02
128;1000;8.080006e-04;8.080006e-07;6.043081e+02
256;1000;9.069443e-04;9.069443e-07;1.076761e+03
512;1000;9.329319e-04;9.329319e-07;2.093534e+03
1024;1000;1.036882e-03;1.036882e-06;3.767303e+03
2048;1000;1.221895e-03;1.221895e-06;6.393756e+03
4096;1000;1.549006e-03;1.549006e-06;1.008712e+04
8192;1000;2.614975e-03;2.614975e-06;1.195040e+04
16384;1000;5.342960e-03;5.342960e-06;1.169763e+04
32768;1000;1.036191e-02;1.036191e-05;1.206341e+04
65536;640;1.341796e-02;2.096556e-05;1.192432e+04
131072;320;1.341200e-02;4.191250e-05;1.192962e+04
262144;160;1.663423e-02;1.039639e-04;9.618722e+03
524288;80;1.637197e-02;2.046496e-04;9.772803e+03
1048576;40;1.684785e-02;4.211962e-04;9.496761e+03
2097152;20;1.721096e-02;8.605480e-04;9.296402e+03
4194304;10;1.849914e-02;1.849914e-03;8.649053e+03
