Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;1.281023e-03;1.281023e-06;2.977852e+00
2;1000;1.209021e-03;1.209021e-06;6.310392e+00
4;1000;1.204014e-03;1.204014e-06;1.267327e+01
8;1000;1.211882e-03;1.211882e-06;2.518198e+01
16;1000;1.200914e-03;1.200914e-06;5.082390e+01
32;1000;1.230001e-03;1.230001e-06;9.924404e+01
64;1000;1.215935e-03;1.215935e-06;2.007843e+02
128;1000;1.260996e-03;1.260996e-06;3.872188e+02
256;1000;1.247883e-03;1.247883e-06;7.825755e+02
512;1000;1.273870e-03;1.273870e-06;1.533221e+03
1024;1000;1.382113e-03;1.382113e-06;2.826289e+03
2048;1000;1.647949e-03;1.647949e-06;4.740741e+03
4096;1000;2.118826e-03;2.118826e-06;7.374367e+03
8192;1000;4.127979e-03;4.127979e-06;7.570290e+03
16384;1000;8.650064e-03;8.650064e-06;7.225380e+03
32768;1000;1.729417e-02;1.729417e-05;7.227870e+03
65536;640;2.241206e-02;3.501885e-05;7.139013e+03
131072;320;2.256513e-02;7.051602e-05;7.090587e+03
262144;160;2.517200e-02;1.573250e-04;6.356270e+03
524288;80;2.491093e-02;3.113866e-04;6.422884e+03
1048576;40;2.522516e-02;6.306291e-04;6.342873e+03
2097152;20;2.556896e-02;1.278448e-03;6.257587e+03
4194304;10;2.842498e-02;2.842498e-03;5.628852e+03
