Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;3.432035e-03;3.432035e-06;5.557485e-01
2;1000;3.401995e-03;3.401995e-06;1.121312e+00
4;1000;3.407001e-03;3.407001e-06;2.239328e+00
8;1000;3.365040e-03;3.365040e-06;4.534505e+00
16;1000;3.336906e-03;3.336906e-06;9.145470e+00
32;1000;5.476952e-03;5.476952e-06;1.114400e+01
64;1000;5.385160e-03;5.385160e-06;2.266791e+01
128;1000;5.469084e-03;5.469084e-06;4.464013e+01
256;1000;5.793095e-03;5.793095e-06;8.428677e+01
512;1000;5.996943e-03;5.996943e-06;1.628434e+02
1024;1000;6.546974e-03;6.546974e-06;2.983248e+02
2048;1000;7.684946e-03;7.684946e-06;5.082989e+02
4096;1000;9.070158e-03;9.070158e-06;8.613411e+02
8192;1000;1.181602e-02;1.181602e-05;1.322357e+03
16384;1000;1.500607e-02;1.500607e-05;2.082491e+03
32768;1000;2.033305e-02;2.033305e-05;3.073813e+03
65536;640;2.040601e-02;3.188439e-05;3.920414e+03
131072;320;1.710486e-02;5.345270e-05;4.677032e+03
262144;160;1.600218e-02;1.000136e-04;4.999319e+03
524288;80;1.513195e-02;1.891494e-04;5.286827e+03
1048576;40;1.556706e-02;3.891766e-04;5.139055e+03
2097152;20;1.571894e-02;7.859468e-04;5.089403e+03
4194304;10;1.667094e-02;1.667094e-03;4.798769e+03
