Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;8.170605e-04;8.170605e-07;4.668807e+00
2;1000;8.249283e-04;8.249283e-07;9.248555e+00
4;1000;8.320808e-04;8.320808e-07;1.833811e+01
8;1000;9.238720e-04;9.238720e-07;3.303226e+01
16;1000;8.919239e-04;8.919239e-07;6.843090e+01
32;1000;1.013041e-03;1.013041e-06;1.204989e+02
64;1000;1.122952e-03;1.122952e-06;2.174098e+02
128;1000;1.147032e-03;1.147032e-06;4.256911e+02
256;1000;1.362085e-03;1.362085e-06;7.169613e+02
512;1000;1.515150e-03;1.515150e-06;1.289064e+03
1024;1000;1.984119e-03;1.984119e-06;1.968758e+03
2048;1000;2.952099e-03;2.952099e-06;2.646422e+03
4096;1000;6.423950e-03;6.423950e-06;2.432304e+03
8192;1000;1.201081e-02;1.201081e-05;2.601822e+03
16384;1000;2.134800e-02;2.134800e-05;2.927675e+03
32768;1000;4.111195e-02;4.111195e-05;3.040479e+03
65536;640;4.963803e-02;7.755943e-05;3.223335e+03
131072;320;4.807496e-02;1.502343e-04;3.328136e+03
262144;160;4.782200e-02;2.988875e-04;3.345741e+03
524288;80;4.796100e-02;5.995125e-04;3.336044e+03
1048576;40;4.873705e-02;1.218426e-03;3.282923e+03
2097152;20;4.918599e-02;2.459300e-03;3.252959e+03
4194304;10;5.117488e-02;5.117488e-03;3.126534e+03
