Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;1.286030e-03;1.286030e-06;2.966259e+00
2;1000;1.240015e-03;1.240015e-06;6.152663e+00
4;1000;1.194954e-03;1.194954e-06;1.276935e+01
8;1000;1.219988e-03;1.219988e-06;2.501466e+01
16;1000;1.194000e-03;1.194000e-06;5.111821e+01
32;1000;1.134157e-03;1.134157e-06;1.076309e+02
64;1000;1.137018e-03;1.137018e-06;2.147201e+02
128;1000;1.152039e-03;1.152039e-06;4.238411e+02
256;1000;1.183987e-03;1.183987e-06;8.248087e+02
512;1000;1.206875e-03;1.206875e-06;1.618333e+03
1024;1000;1.296997e-03;1.296997e-06;3.011765e+03
2048;1000;1.533031e-03;1.533031e-06;5.096112e+03
4096;1000;2.019882e-03;2.019882e-06;7.735600e+03
8192;1000;3.907204e-03;3.907204e-06;7.998047e+03
16384;1000;8.498907e-03;8.498907e-06;7.353887e+03
32768;1000;1.715398e-02;1.715398e-05;7.286939e+03
65536;640;2.259898e-02;3.531091e-05;7.079965e+03
131072;320;2.253985e-02;7.043704e-05;7.098538e+03
262144;160;2.489400e-02;1.555875e-04;6.427252e+03
524288;80;2.487302e-02;3.109127e-04;6.432673e+03
1048576;40;2.509594e-02;6.273985e-04;6.375533e+03
2097152;20;2.560115e-02;1.280057e-03;6.249720e+03
4194304;10;2.846980e-02;2.846980e-03;5.619990e+03
