Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;1.876116e-03;1.876116e-06;1.016648e+00
2;1000;1.904011e-03;1.904011e-06;2.003506e+00
4;1000;1.848936e-03;1.848936e-06;4.126370e+00
8;1000;1.837969e-03;1.837969e-06;8.301985e+00
16;1000;1.830101e-03;1.830101e-06;1.667535e+01
32;1000;2.987146e-03;2.987146e-06;2.043260e+01
64;1000;2.969980e-03;2.969980e-06;4.110139e+01
128;1000;3.057957e-03;3.057957e-06;7.983783e+01
256;1000;3.275156e-03;3.275156e-06;1.490864e+02
512;1000;3.420115e-03;3.420115e-06;2.855350e+02
1024;1000;3.698111e-03;3.698111e-06;5.281413e+02
2048;1000;4.313946e-03;4.313946e-06;9.054935e+02
4096;1000;5.214930e-03;5.214930e-06;1.498103e+03
8192;1000;7.073164e-03;7.073164e-06;2.209054e+03
16384;1000;8.668900e-03;8.668900e-06;3.604840e+03
32768;1000;1.168203e-02;1.168203e-05;5.350096e+03
65536;640;1.187110e-02;1.854859e-05;6.739056e+03
131072;320;1.310897e-02;4.096553e-05;6.102692e+03
262144;160;9.548903e-03;5.968064e-05;8.377926e+03
524288;80;1.052594e-02;1.315743e-04;7.600270e+03
1048576;40;9.793997e-03;2.448499e-04;8.168269e+03
2097152;20;1.124001e-02;5.620003e-04;7.117434e+03
4194304;10;1.147318e-02;1.147318e-03;6.972784e+03
