Tamano_mensaje (Bytes);Numero_mensajes;Latencia (segundos);Latencia por mensaje (segundos);Throughput (MBps)
1;1000;1.166105e-03;1.166105e-06;6.542629e+00
2;1000;1.151800e-03;1.151800e-06;1.324777e+01
4;1000;1.116037e-03;1.116037e-06;2.734458e+01
8;1000;1.096010e-03;1.096010e-06;5.568849e+01
16;1000;1.124859e-03;1.124859e-06;1.085206e+02
32;1000;1.237869e-03;1.237869e-06;1.972265e+02
64;1000;1.199961e-03;1.199961e-06;4.069144e+02
128;1000;1.383066e-03;1.383066e-06;7.060852e+02
256;1000;1.499891e-03;1.499891e-06;1.302178e+03
512;1000;1.599073e-03;1.599073e-06;2.442821e+03
1024;1000;1.706839e-03;1.706839e-06;4.577176e+03
2048;1000;1.983166e-03;1.983166e-06;7.878817e+03
4096;1000;2.640009e-03;2.640009e-06;1.183708e+04
8192;1000;4.377127e-03;4.377127e-06;1.427877e+04
16384;1000;7.112026e-03;7.112026e-06;1.757586e+04
32768;1000;1.124215e-02;1.124215e-05;2.223774e+04
65536;640;1.438212e-02;2.247207e-05;2.224984e+04
131072;320;1.400709e-02;4.377216e-05;2.284557e+04
262144;160;1.403999e-02;8.774996e-05;2.279203e+04
524288;80;1.377487e-02;1.721859e-04;2.323071e+04
1048576;40;1.354003e-02;3.385007e-04;2.363363e+04
2097152;20;1.359487e-02;6.797433e-04;2.353830e+04
4194304;10;1.402998e-02;1.402998e-03;2.280830e+04
