[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=18a6ab0
[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=18a9ab0
[0] MPI startup(): Multi-threaded optimized library
[0] DAPL startup(): trying to open DAPL provider from I_MPI_DAPL_PROVIDER: ofa-v2-mlx4_0-1u
[0] MPI startup(): DAPL provider ofa-v2-mlx4_0-1u
[0] MPI startup(): dapl data transfer mode
[1] DAPL startup(): trying to open DAPL provider from I_MPI_DAPL_PROVIDER: ofa-v2-mlx4_0-1u
[1] MPI startup(): DAPL provider ofa-v2-mlx4_0-1u
[1] MPI startup(): dapl data transfer mode
[0] MPID_nem_init_dapl_coll_fns(): User set DAPL collective mask = 0000
[0] MPID_nem_init_dapl_coll_fns(): Effective DAPL collective mask = 0000
[1] MPID_nem_init_dapl_coll_fns(): User set DAPL collective mask = 0000
[1] MPID_nem_init_dapl_coll_fns(): Effective DAPL collective mask = 0000
[0] MPI startup(): Rank    Pid      Node name  Pin cpu
[0] MPI startup(): 0       12935    c7245      +1
[0] MPI startup(): 1       15776    c7246      +1
[0] MPI startup(): I_MPI_DEBUG=5
	#bytes	#repetitions	t[usec]		MBytes/sec
	0	1000	0.00548362731933593750		0.00000000000000000000
	1	1000	0.00154972076416015625		615.38461538461535837996
	2	1000	0.00143051147460937500		1333.33333333333325754211
	4	1000	0.00846385955810546875		450.70422535211270087530
	8	1000	0.00405311584472656250		1882.35294117647049461084
	16	1000	0.00345706939697265625		4413.79310344827536027879
	32	1000	0.00751018524169921875		4063.49206349206360755488
	64	1000	0.00500679016113281250		12190.47619047618900367524
	128	1000	0.00500679016113281250		24380.95238095237800735049
	256	1000	0.00596046447753906250		40960.00000000000000000000
	512	1000	0.00596046447753906250		81920.00000000000000000000
	1024	1000	0.00607967376708984375		160627.45098039216827601194
	2048	1000	0.00703334808349609375		277694.91525423730490729213
	4096	1000	0.01049041748046875000		372363.63636363641126081347
	8192	1000	0.02300739288330078125		339564.76683937822235748172
	16384	1000	0.02396106719970703125		652099.50248756213113665581
	32768	1000	0.03206729888916015625		974513.01115241635125130415
	65536	640	0.10393559932708740234		601333.90681003592908382416
	131072	320	0.38295984268188476562		326404.98054474708624184132
	262144	160	1.41188502311706542969		177068.24274406331824138761
	524288	80	5.40018081665039062500		92589.49227373069152235985
	1048576	40	20.71261405944824218750		48279.75827338129602139816
	2097152	20	76.74694061279296875000		26059.67070518794935196638
	4194304	10	279.95109558105468750000		14288.20984500085069157649
