[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=1a2eab0
[0] MPI startup(): Multi-threaded optimized library
[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=1cd9ab0
[0] DAPL startup(): trying to open DAPL provider from I_MPI_DAPL_PROVIDER: ofa-v2-mlx4_0-1u
[0] MPI startup(): DAPL provider ofa-v2-mlx4_0-1u
[0] MPI startup(): dapl data transfer mode
[1] DAPL startup(): trying to open DAPL provider from I_MPI_DAPL_PROVIDER: ofa-v2-mlx4_0-1u
[1] MPI startup(): DAPL provider ofa-v2-mlx4_0-1u
[1] MPI startup(): dapl data transfer mode
[0] MPID_nem_init_dapl_coll_fns(): User set DAPL collective mask = 0000
[0] MPID_nem_init_dapl_coll_fns(): Effective DAPL collective mask = 0000
[1] MPID_nem_init_dapl_coll_fns(): User set DAPL collective mask = 0000
[1] MPID_nem_init_dapl_coll_fns(): Effective DAPL collective mask = 0000
[0] MPI startup(): Rank    Pid      Node name  Pin cpu
[0] MPI startup(): 0       13343    c7245      +1
[0] MPI startup(): 1       16054    c7246      +1
[0] MPI startup(): I_MPI_DEBUG=5
	#bytes	#repetitions	t_min[usec]		t_max[usec]		t[usec]		MBytes/sec
	0	1000	0.00452995300292968750		0.00548362731933593750		0.00548362731933593750		0.00000000000000000000
	1	1000	0.00047683715820312500		0.00202655792236328125		0.00202655792236328125		470.58823529411762365271
	2	1000	0.00047683715820312500		0.00154972076416015625		0.00154972076416015625		1230.76923076923071675992
	4	1000	0.00596046447753906250		0.00703334808349609375		0.00703334808349609375		542.37288135593223614705
	8	1000	0.00202655792236328125		0.00393390655517578125		0.00393390655517578125		1939.39393939393926302728
	16	1000	0.00190734863281250000		0.00345706939697265625		0.00345706939697265625		4413.79310344827536027879
	32	1000	0.00655651092529296875		0.00846385955810546875		0.00846385955810546875		3605.63380281690160700236
	64	1000	0.00393390655517578125		0.00500679016113281250		0.00500679016113281250		12190.47619047618900367524
	128	1000	0.00405311584472656250		0.00548362731933593750		0.00548362731933593750		22260.86956521739193703979
	256	1000	0.00500679016113281250		0.00607967376708984375		0.00607967376708984375		40156.86274509804206900299
	512	1000	0.00452995300292968750		0.00596046447753906250		0.00596046447753906250		81920.00000000000000000000
	1024	1000	0.00548362731933593750		0.00655651092529296875		0.00655651092529296875		148945.45454545455868355930
	2048	1000	0.00560283660888671875		0.00643730163574218750		0.00643730163574218750		303407.40740740741603076458
	4096	1000	0.01001358032226562500		0.01144409179687500000		0.01144409179687500000		341333.33333333331393077970
	8192	1000	0.01549720764160156250		0.01657009124755859375		0.01657009124755859375		471482.01438848918769508600
	16384	1000	0.01955032348632812500		0.02193450927734375000		0.02193450927734375000		712347.82608695654198527336
	32768	1000	0.03051757812500000000		0.03147125244140625000		0.03147125244140625000		992969.69696969690266996622
	65536	640	0.10617077350616455078		0.10952353477478027344		0.10952353477478027344		570653.60544217692222446203
	131072	320	0.36880373954772949219		0.37178397178649902344		0.37178397178649902344		336216.75350701401475816965
	262144	160	1.43125653266906738281		1.44094228744506835938		1.44094228744506835938		173497.58014477766118943691
	524288	80	5.28693199157714843750		5.30034303665161132812		5.30034303665161132812		94333.51700871520733926445
	1048576	40	20.26259899139404296875		20.27451992034912109375		20.27451992034912109375		49322.99279729531554039568
	2097152	20	76.74694061279296875000		76.77674293518066406250		76.77674293518066406250		26049.55515876096615102142
	4194304	10	281.10742568969726562500		281.20279312133789062500		281.20279312133789062500		14224.60977574293065117672
