[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=f7eab0
[0] MPI startup(): Multi-threaded optimized library
[-1] MPI startup(): Imported environment partly inaccesible. Map=0 Info=1254ab0
[0] DAPL startup(): trying to open DAPL provider from I_MPI_DAPL_PROVIDER: ofa-v2-mlx4_0-1u
[0] MPI startup(): DAPL provider ofa-v2-mlx4_0-1u
[0] MPI startup(): dapl data transfer mode
[1] DAPL startup(): trying to open DAPL provider from I_MPI_DAPL_PROVIDER: ofa-v2-mlx4_0-1u
[1] MPI startup(): DAPL provider ofa-v2-mlx4_0-1u
[1] MPI startup(): dapl data transfer mode
[0] MPID_nem_init_dapl_coll_fns(): User set DAPL collective mask = 0000
[0] MPID_nem_init_dapl_coll_fns(): Effective DAPL collective mask = 0000
[1] MPID_nem_init_dapl_coll_fns(): User set DAPL collective mask = 0000
[1] MPID_nem_init_dapl_coll_fns(): Effective DAPL collective mask = 0000
[0] MPI startup(): Rank    Pid      Node name  Pin cpu
[0] MPI startup(): 0       31127    c7249      +1
[0] MPI startup(): 1       30457    c7251      +1
[0] MPI startup(): I_MPI_DEBUG=5
	#bytes	#repetitions	t_min[usec]		t_max[usec]		t[usec]		MBytes/sec
	0	1000	0.00500679016113281250		0.00548362731933593750		0.00548362731933593750		0.00000000000000000000
	1	1000	0.00047683715820312500		0.00143051147460937500		0.00143051147460937500		666.66666666666662877105
	2	1000	0.00047683715820312500		0.00202655792236328125		0.00202655792236328125		941.17647058823524730542
	4	1000	0.00655651092529296875		0.00751018524169921875		0.00751018524169921875		507.93650793650795094436
	8	1000	0.00250339508056640625		0.00405311584472656250		0.00405311584472656250		1882.35294117647049461084
	16	1000	0.00202655792236328125		0.00345706939697265625		0.00345706939697265625		4413.79310344827536027879
	32	1000	0.00703334808349609375		0.00858306884765625000		0.00858306884765625000		3555.55555555555565661052
	64	1000	0.00345706939697265625		0.00500679016113281250		0.00500679016113281250		12190.47619047618900367524
	128	1000	0.00405311584472656250		0.00548362731933593750		0.00548362731933593750		22260.86956521739193703979
	256	1000	0.00452995300292968750		0.00596046447753906250		0.00596046447753906250		40960.00000000000000000000
	512	1000	0.00441074371337890625		0.00441074371337890625		0.00441074371337890625		110702.70270270270702894777
	1024	1000	0.00560283660888671875		0.00655651092529296875		0.00655651092529296875		148945.45454545455868355930
	2048	1000	0.00548362731933593750		0.00655651092529296875		0.00655651092529296875		297890.90909090911736711860
	4096	1000	0.01001358032226562500		0.01156330108642578125		0.01156330108642578125		337814.43298969068564474583
	8192	1000	0.01955032348632812500		0.02050399780273437500		0.02050399780273437500		381023.25581395352492108941
	16384	1000	0.01955032348632812500		0.02098083496093750000		0.02098083496093750000		744727.27272727282252162695
	32768	1000	0.03802776336669921875		0.03898143768310546875		0.03898143768310546875		801663.60856269113719463348
	65536	640	0.10859221220016479492		0.11082738637924194336		0.11082738637924194336		563940.03361344535369426012
	131072	320	0.39525330066680908203		0.39674341678619384766		0.39674341678619384766		315065.08920187794137746096
	262144	160	1.47148966789245605469		1.47819519042968750000		1.47819519042968750000		169125.16129032257595099509
	524288	80	5.63114881515502929688		5.64306974411010742188		5.64306974411010742188		88604.25666754686972126365
	1048576	40	21.82424068450927734375		21.82424068450927734375		21.82424068450927734375		45820.60904001092421822250
	2097152	20	79.72717285156250000000		79.72717285156250000000		79.72717285156250000000		25085.55023923444969113916
	4194304	10	293.39790344238281250000		293.55287551879882812500		293.55287551879882812500		13626.16527918781685002614
